real,imag,alpha,theta,imag_err
2.899613663394994,-0.005127477984709056,1.1401881455521683,-0.005437824109475957,-0.00023137456130251262
2.905538205249225,-0.002142037273332261,1.1442119152267316,-0.0037149891232547607,-1.49928668896032e-05
2.9156422127897588,-0.005583464042541656,1.1638637624710748,-0.010446845371366253,-0.00023902492687830589
2.918575568343772,-0.0010892397493932797,1.1681913181807806,-0.0019402603552251246,7.350369568412309e-05
2.9202772243659942,-0.002892524066459629,1.1695176071042614,-0.0029969009787360694,0.00028559086405587856
2.9263123501222315,-0.019151227247276442,1.1709738036949082,-0.018985119895242996,-0.0006738890442559674
2.934220957734044,-0.0002287427066756004,1.1878573298611017,-0.00017117578661767332,-7.312042318836475e-05
2.893072485500945,-0.005044344503144646,1.128185728221121,-0.003205096133646801,-0.0019343583587372619
2.8997426615382618,-0.004920671902109508,1.1401838684327519,-0.0052826090071517225,0.00020981601700186155
2.9055169303933126,-0.002129640391595835,1.1441724279027061,-0.003678394906518457,1.3269731518592443e-05
2.9154579015848836,-0.005460871150010073,1.16334731853378,-0.01019315547997155,0.00011944108067922857
2.9185602759624674,-0.0011401985601708058,1.1681765601448306,-0.0020271300588798153,-5.364218605628346e-05
2.923304795892101,-0.01940523331638661,1.1689054707468287,-0.01859254856170173,-0.0007627942840404446
2.920326932134281,-0.003031573102971247,1.1695506521487635,-0.003132674026107533,-0.00012237488291717185
2.9319592934241676,-0.0026423591178752976,1.1852603736624248,-0.003288870444672998,0.00032000081400187846
2.9326315413890667,-0.0043398550441961226,1.185668287192143,-0.004213600604867226,-0.0005446191729997752
2.8955793011950237,-0.0003887502530305357,1.1336573842418005,-0.00020573825912208635,-0.00014981700132444932
2.899550476773146,-0.005430054367301661,1.1402465797655081,-0.005605646917040035,-0.0005016978839353665
2.9055636020270215,-0.0021519495152814085,1.1442638847026407,-0.0037482863939616007,-1.7940906575118504e-05
2.915828620498013,-0.005677725986816581,1.1643890548071667,-0.010621680530517895,-0.0001558892712365612
2.918590035615927,-0.001040018183176454,1.1682059620362222,-0.0018573069197115374,8.656220589124794e-05
2.9202368583365153,-0.0027628392759716275,1.169490625031088,-0.0028696790590357754,0.00033861673245875286
2.928739426136068,-0.017694872886593577,1.1730005941402841,-0.01886616674996625,0.0010661223675134286
2.930862119628677,-0.00019879038474484613,1.18369676809265,-0.00010921704408198773,-0.00010036263230146525
2.9380527142636046,-0.005185255106761325,1.1947196937249547,-0.005074465820506784,-0.0007309304362459442
2.9398793455205436,-0.0008970045255936927,1.1962007014206941,-0.0022207117945929264,0.0007345623380504252
2.8938154575438104,-0.0030891596024231168,1.1304110023687388,-0.0018341427960217379,-0.0013695263254706607
2.8996235408909614,-0.0050750385751847215,1.1401736540848142,-0.005410580824967581,0.0003491702274733433
