Alpha	E root1	E root2	E root3	E root4	E root5		Alpha (0.9-1.3)	E root4 (0.9-1.3)		Smoothed alpha	Smoothed E root1	Smoothed E root2	Smoothed E root3	Smoothed E root4	Smoothed E root5		Start	0.2
0.358158	0.32572247	0.42665474	0.59275806	0.61963348	0.71789768		0.915808	2.41829339		1.193750	0.50629858	2.24517614	2.83391227	2.93853664	3.58573896			
0.360160	0.32988538	0.43150565	0.59217517	0.62704218	0.72709160		0.916008	2.41900531		1.206250	0.50617569	2.24733606	2.87463129	2.94470862	3.63145301			
0.362162	0.33404828	0.43635657	0.59159228	0.63445087	0.73628553		0.916208	2.41971723		1.218750	0.50612583	2.25046578	2.92722683	2.96274983	3.70025374			
0.364164	0.33821119	0.44120748	0.59100939	0.64185957	0.74547945		0.916408	2.42042915		1.231250	0.50617739	2.25354297	2.96224769	2.99862721	3.76904178			
0.366166	0.34237410	0.44605839	0.59042650	0.64926827	0.75467338		0.916608	2.42114108		1.243750	0.50628464	2.25555244	2.96786361	3.04052031	3.81500994			
0.368168	0.34653701	0.45090930	0.58984361	0.65667697	0.76386730		0.916808	2.42185300		1.256250	0.50647803	2.25757201	2.97331130	3.08268570	3.86124815			
0.370170	0.35075826	0.45564358	0.58923457	0.66458262	0.77321004		0.917009	2.42256492		1.268750	0.50676648	2.25960795	2.97866499	3.12510627	3.90757968			
0.372172	0.35500343	0.46033008	0.58861481	0.67269187	0.78261374		0.917209	2.42327684		1.281250	0.50731710	2.26269452	2.98651486	3.18927023	3.97725941			
0.374174	0.35924859	0.46501657	0.58799505	0.68080111	0.79201745		0.917409	2.42398877		1.293750	0.50803330	2.26587807	2.99429582	3.25378734	4.04707251			
0.376176	0.36349375	0.46970306	0.58737529	0.68891036	0.80142115		0.917609	2.42470069		1.306250	0.50862335	2.26805765	2.99937258	3.29708342	4.09368185			
0.378178	0.36773892	0.47438956	0.58675554	0.69701961	0.81082485		0.917809	2.42541261		1.318750	0.50957944	2.27132482	3.00675164	3.36242919	4.16364258			
0.380180	0.37198408	0.47907605	0.58613578	0.70512886	0.82022855		0.918009	2.42612453		1.331250	0.51074177	2.27476258	3.01412207	3.42805737	4.23387646			
0.382182	0.37560690	0.48277660	0.58598182	0.71205365	0.82825945		0.918209	2.42683646		1.343750	0.51205347	2.27753633	3.01929283	3.47254268	4.28109043			
0.384184	0.37851550	0.48534562	0.58636243	0.71761909	0.83471483		0.918409	2.42754838		1.356250	0.51462703	2.28134102	3.02594085	3.52184923	4.33913327			
0.386186	0.38142410	0.48791464	0.58674304	0.72318454	0.84117022		0.918609	2.42826030		1.381250	0.51742365	2.28761348	3.03827275	3.63592960	4.45707176			
0.388188	0.38433270	0.49048366	0.58712365	0.72874999	0.84762561		0.918809	2.42899165		1.406250	0.51873418	2.29257570	3.04814466	3.74348884	4.56318605			
0.390190	0.38724130	0.49305268	0.58750426	0.73431543	0.85408099		0.919010	2.42976901		1.418750	0.51954795	2.29477861	3.05184202	3.78612444	4.60896425			
0.392192	0.39014990	0.49562171	0.58788487	0.73988088	0.86053638		0.919210	2.43054637		1.431250	0.52142684	2.29872590	3.05848464	3.85413892	4.67879904			
0.394194	0.39306834	0.49803978	0.58845609	0.74546768	0.86701595		0.919410	2.43132373		1.443750	0.52342332	2.30278217	3.06514605	3.92265609	4.74853995			
0.396196	0.39602129	0.49992849	0.58969577	0.75112939	0.87358032		0.919610	2.43210109		1.456250	0.52491490	2.30561642	3.06962122	3.96853877	4.79483300			
0.398198	0.39897423	0.50181720	0.59093546	0.75679109	0.88014470		0.919810	2.43287845		1.468750	0.52748949	2.31018566	3.07650204	4.03774212	4.86416807			
0.400200	0.40192718	0.50370591	0.59217514	0.76245279	0.88670908		0.920010	2.43365580		1.481250	0.53015950	2.31484066	3.08341889	4.10711097	4.93320929			
0.402202	0.40488013	0.50559463	0.59341483	0.76811449	0.89327346		0.920210	2.43443316		1.493750	0.53201133	2.31801755	3.08801876	4.15349918	4.97886226			
0.404204	0.40783308	0.50748334	0.59465451	0.77377620	0.89983783		0.920410	2.43521052		1.506250	0.53396153	2.32128364	3.09265302	4.19999644	5.02423766			
0.406206	0.41078603	0.50937205	0.59589420	0.77943790	0.90640221		0.920610	2.43598788		1.518750	0.53599099	2.32461688	3.09729670	4.24657532	5.06925635			
0.408208	0.41526340	0.51070709	0.59967676	0.78808189	0.91642103		0.920810	2.43676524		1.531250	0.53911304	2.32971151	3.10423492	4.31657034	5.13571694			
0.410210	0.41977486	0.51202976	0.60351619	0.79679258	0.92651711		0.921011	2.43754260		1.543750	0.54228046	2.33486228	3.11115377	4.38662423	5.20130482			
0.412212	0.42428632	0.51335242	0.60735563	0.80550326	0.93661319		0.921211	2.43831996		1.556250	0.54447319	2.33838278	3.11576361	4.43337758	5.24398877			
0.414214	0.42879777	0.51467508	0.61119506	0.81421395	0.94670926		0.921411	2.43909732		1.568750	0.54787752	2.34375362	3.12267145	4.50349357	5.30598103			
0.416216	0.43330923	0.51599775	0.61503449	0.82292463	0.95680534		0.921611	2.43987468		1.581250	0.55131401	2.34915689	3.12955303	4.57355346	5.36638049			
0.418218	0.43782069	0.51732041	0.61887392	0.83163532	0.96690142		0.921811	2.44065203		1.593750	0.55349604	2.35266184	3.13398292	4.61996227	5.40456725			
0.420220	0.44235099	0.51814114	0.62344484	0.84044337	0.97711675		0.922011	2.44142939		1.606250	0.55570558	2.35619566	3.13839491	4.66627644	5.44128418			
0.422222	0.44688811	0.51878032	0.62828033	0.84928663	0.98737522		0.922211	2.44220675		1.618750	0.55809689	2.35990410	3.14292641	4.71268375	5.47662961			
0.424224	0.45142523	0.51941949	0.63311582	0.85812989	0.99763369		0.922411	2.44298411		1.631250	0.56173284	2.36552047	3.14968069	4.78194957	5.52580008			
0.426226	0.45596234	0.52005867	0.63795132	0.86697316	1.00789215		0.922611	2.44376147		1.643750	0.56537027	2.37115651	3.15639418	4.85089993	5.57234009			
0.428228	0.46049946	0.52069784	0.64278681	0.87581642	1.01815062		0.922811	2.44453883		1.656250	0.56783769	2.37494472	3.16084207	4.89646677	5.60079370			
0.430230	0.46503657	0.52133702	0.64762230	0.88465968	1.02840909		0.923012	2.44531619		1.668750	0.57034575	2.37875587	3.16527445	4.94171021	5.62767937			
0.432232	0.46879562	0.52175419	0.65197396	0.88793044	1.03706126		0.923212	2.44609355		1.681250	0.57409739	2.38447012	3.17177975	5.00854851	5.66498199			
0.434234	0.47174685	0.52194087	0.65582328	0.88541573	1.04404574		0.923412	2.44687090		1.693750	0.57785973	2.39019399	3.17824639	5.07464432	5.70069458			
0.436236	0.47469809	0.52212755	0.65967261	0.88290102	1.05103021		0.923612	2.44764826		1.706250	0.58036888	2.39402149	3.18256342	5.11788954	5.72336745			
0.438238	0.47764932	0.52231423	0.66352193	0.88038631	1.05801469		0.923812	2.44842562		1.718750	0.58413480	2.39976250	3.18896554	5.18104431	5.75661214			
0.440240	0.48060055	0.52250092	0.66737126	0.87787160	1.06499917		0.924012	2.44920298		1.731250	0.58789903	2.40549970	3.19531650	5.24286192	5.78976499			
0.442242	0.48355179	0.52268760	0.67122058	0.87535688	1.07198365		0.924212	2.44998034		1.743750	0.59037981	2.40930581	3.19948723	5.28251852	5.81218284			
0.444244	0.48639737	0.52298017	0.67512742	0.87279882	1.07899034		0.924412	2.45075770		1.756250	0.59287919	2.41311566	3.20363080	5.32095030	5.83514773			
0.446246	0.48892066	0.52359579	0.67920971	0.87010848	1.08606479		0.924612	2.45153506		1.768750	0.59539561	2.41692738	3.20774619	5.35800975	5.85888661			
0.448248	0.49144395	0.52421141	0.68329199	0.86741814	1.09313924		0.924812	2.45231242		1.781250	0.59928694	2.42273891	3.21399712	5.41027583	5.89716793			
0.450250	0.49396725	0.52482702	0.68737428	0.86472780	1.10021368		0.925013	2.45308978		1.793750	0.60316029	2.42852695	3.22018718	5.45996312	5.93733810			
0.452252	0.49649054	0.52544264	0.69145657	0.86203746	1.10728813		0.925213	2.45386713		1.806250	0.60560620	2.43226638	3.22413030	5.49018702	5.96605251			
0.454254	0.49901383	0.52605826	0.69553886	0.85934712	1.11436258		0.925413	2.45464449		1.818750	0.60924459	2.43783386	3.22994822	5.53122303	6.01255806			
0.456256	0.50153391	0.52667724	0.69962169	0.85668291	1.12143731		0.925613	2.45542185		1.831250	0.61285965	2.44337120	3.23570058	5.56940879	6.06143121			
0.458258	0.50303170	0.52837105	0.70387743	0.86235601	1.12860028		0.925813	2.45619921		1.843750	0.61530944	2.44714530	3.23955172	5.59241849	6.09654519			
0.460260	0.50452948	0.53006486	0.70813317	0.86802910	1.13576325		0.926013	2.45697657		1.856250	0.61776472	2.45090094	3.24336330	5.61370222	6.13312898			
0.462262	0.50602727	0.53175866	0.71238891	0.87370219	1.14292622		0.926213	2.45775393		1.868750	0.62147522	2.45647267	3.24908695	5.64180947	6.19081933			
0.464264	0.50752505	0.53345247	0.71664464	0.87937529	1.15008919		0.926413	2.45853129		1.881250	0.62535694	2.46223986	3.25499513	5.66800427	6.25055825			
0.466266	0.50902283	0.53514628	0.72090038	0.88504838	1.15725216		0.926613	2.45930865		1.893750	0.62803875	2.46621007	3.25894966	5.68371796	6.29224952			
0.468268	0.51052062	0.53684008	0.72515612	0.89072147	1.16441513		0.926813	2.46008600		1.906250	0.63074693	2.47014491	3.26284206	5.69883016	6.33573626			
0.470270	0.51132068	0.54057237	0.73124046	0.89869034	1.17443459		0.927014	2.46086336		1.918750	0.63369992	2.47428788	3.26694483	5.71343895	6.38097361			
0.472272	0.51189966	0.54495059	0.73790423	0.90738668	1.18535919		0.927214	2.46164072		1.942500	0.64117109	2.48541898	3.29400348	5.77912929	6.50073327			
0.474274	0.51247865	0.54932882	0.74456801	0.91608302	1.19628380		0.927414	2.46241808		1.961250	0.64711067	2.49439253	3.31894895	5.83776369	6.59767721			
0.476276	0.51305763	0.55370704	0.75123178	0.92477936	1.20720841		0.927614	2.46319544		1.968750	0.65037634	2.49831067	3.30652879	5.81245068	6.63456593			
0.478278	0.51363661	0.55808527	0.75789555	0.93347570	1.21813301		0.927814	2.46397280		1.981250	0.65579553	2.50493678	3.29686191	5.79239868	6.69636775			
0.480280	0.51421559	0.56246349	0.76455932	0.94217204	1.22905762		0.928014	2.46475016		1.993750	0.65956356	2.51000776	3.30180857	5.80307477	6.75177707			
0.482282	0.51459771	0.56709559	0.77130145	0.95093094	1.24003717		0.928214	2.46552752		2.006250	0.66142288	2.51303226	3.30464406	5.81107788	6.79756465			
0.484284	0.51479490	0.57196618	0.77811720	0.95974862	1.25106835		0.928414	2.46630488		2.018750	0.66205127	2.51541395	3.30661691	5.82004606	6.85672955			
0.486286	0.51499209	0.57683676	0.78493294	0.96856630	1.26209953		0.928614	2.46708223		2.031250	0.66168341	2.51672589	3.30770712	5.82856467	6.92246180			
0.488288	0.51518928	0.58170735	0.79174869	0.97738398	1.27313071		0.928814	2.46785959		2.043750	0.66168021	2.51765303	3.30854396	5.83393174	6.96760539			
0.490290	0.51538647	0.58657794	0.79856443	0.98620166	1.28416188		0.929015	2.46863695		2.075000	0.66550770	2.52466585	3.31486330	5.85025724	7.10718415			
0.492292	0.51558366	0.59144853	0.80538018	0.99501934	1.29519306		0.929215	2.46941431		2.125000	0.67271660	2.53703159	3.32620577	5.87626649	7.34060770			
0.494294	0.51574400	0.59592477	0.81161367	1.00307005	1.30525007		0.929415	2.47019167		2.175000	0.68058022	2.54990748	3.33783650	5.90038915	7.57444328			
0.496296	0.51580566	0.59934490	0.81628781	1.00906669	1.31269809		0.929615	2.47096903										
0.498298	0.51586731	0.60276503	0.82096194	1.01506333	1.32014611		0.929815	2.47174639										
0.500300	0.51592896	0.60618516	0.82563607	1.02105998	1.32759413		0.930015	2.47252375										
0.502302	0.51599062	0.60960528	0.83031021	1.02705662	1.33504215		0.930215	2.47330111										
0.504304	0.51605227	0.61302541	0.83498434	1.03305326	1.34249017		0.930415	2.47407846										
0.506306	0.51611390	0.61644718	0.83965596	1.03903782	1.34993560		0.930615	2.47485582										
0.508308	0.51617475	0.61992553	0.84424072	1.04460497	1.35729135		0.930815	2.47563318										
0.510310	0.51623560	0.62340388	0.84882548	1.05017211	1.36464711		0.931016	2.47641054										
0.512312	0.51629645	0.62688223	0.85341024	1.05573926	1.37200286		0.931216	2.47718790										
0.514314	0.51635731	0.63036058	0.85799500	1.06130641	1.37935861		0.931416	2.47779257										
0.516316	0.51641816	0.63383893	0.86257976	1.06687355	1.38671437		0.931616	2.47836139										
0.518318	0.51647901	0.63731728	0.86716452	1.07244070	1.39407012		0.931816	2.47893022										
0.520320	0.51659632	0.64225989	0.87371507	1.08043816	1.40437324		0.932016	2.47949905										
0.522322	0.51672915	0.64760502	0.88080601	1.08910371	1.41548659		0.932216	2.48006787										
0.524324	0.51686199	0.65295016	0.88789696	1.09776927	1.42659995		0.932416	2.48063670										
0.526326	0.51699482	0.65829529	0.89498790	1.10643482	1.43771330		0.932616	2.48120553										
0.528328	0.51712765	0.66364043	0.90207884	1.11510037	1.44882665		0.932816	2.48177435										
0.530330	0.51726048	0.66898556	0.90916979	1.12376593	1.45994001		0.933017	2.48234318										
0.532332	0.51741634	0.67437226	0.91640035	1.13272569	1.47112755		0.933217	2.48291201										
0.534334	0.51759176	0.67979426	0.92374955	1.14193544	1.48237814		0.933417	2.48348083										
0.536336	0.51776719	0.68521627	0.93109875	1.15114520	1.49362873		0.933617	2.48404966										
0.538338	0.51794261	0.69063827	0.93844795	1.16035495	1.50487932		0.933817	2.48461849										
0.540340	0.51811803	0.69606028	0.94579716	1.16956471	1.51612990		0.934017	2.48518731										
0.542342	0.51829345	0.70148228	0.95314636	1.17877447	1.52738049		0.934217	2.48575614										
0.544344	0.51845605	0.70638818	0.95979859	1.18709732	1.53752435		0.934417	2.48632497										
0.546346	0.51858826	0.71007172	0.96480011	1.19331964	1.54504699		0.934617	2.48689379										
0.548348	0.51872048	0.71375526	0.96980164	1.19954195	1.55256964		0.934817	2.48746262										
0.550350	0.51885270	0.71743880	0.97480316	1.20576426	1.56009228		0.935018	2.48803144										
